Unnamed: 0,小区名字,总价,户型,建筑面积,单价,朝向,楼层,装修,区域,楼房结构,房源发布时间
1613,骑士郡,115万,3室1厅1卫, 87.98平米 ,13072元/平米,西,低楼层,简装,双流区, 板塔结合, 4个月前
1614,翠晨记,49万,2室1厅1卫, 62.91平米 ,7789元/平米,西南,低楼层,精装,龙泉驿区, 板塔结合, 3个月前
1615,嘉裕第六洲悠泊屿,63万,3室2厅1卫, 118.18平米 ,5331元/平米,南,低楼层,毛坯,崇州市, 板楼, 6个月前
1616,龙湖弗莱明戈一期,115万,3室2厅1卫, 91.73平米 ,12537元/平米,西南,高楼层,精装,郫都区, 塔楼, 4个月前
1617,绿地国际花都三期,81万,3室2厅1卫, 83.1平米 ,9700元/平米,西南,高楼层,简装,郫都区, 塔楼, 5个月前
1618,嘉云台,96万,2室2厅1卫, 91.81平米 ,10457元/平米,南北,低楼层,简装,武侯区, 塔楼, 6个月前
1619,卓锦万黛,110万,3室1厅1卫, 88.84平米 ,12382元/平米,西北,高楼层,精装,龙泉驿区, 板塔结合, 2个月前
1620,南门绿郡,520万,3室1厅1卫, 161.88平米 ,32123元/平米,南,高楼层,精装,高新区, 板塔结合, 4个月前
1621,鑫苑鑫都汇,130万,3室2厅1卫, 73.85平米 ,17604元/平米,西北,中楼层,精装,天府新区, 板塔结合, 8个月前
1622,金沙愉景二期,175万,3室2厅1卫, 90.18平米 ,19406元/平米,东南,低楼层,精装,青羊区, 板塔结合, 5个月前
1623,南湖世纪,165万,3室1厅1卫, 96.62平米 ,17078元/平米,东,中楼层,精装,双流区, 塔楼, 3个月前
1624,三都汇朝外,139万,2室1厅1卫, 74.1平米 ,18759元/平米,南,中楼层,精装,双流区, 板塔结合, 1年前
1625,蓝光金悦派,105万,2室1厅1卫, 60.74平米 ,17287元/平米,南,高楼层,精装,高新区, 塔楼, 1个月前
1626,泉水东苑B区,98万,2室1厅1卫, 87.06平米 ,11257元/平米,北,中楼层,其他,金牛区, 板楼, 1个月前
1627,金色逸景,81万,3室2厅2卫, 112.28平米 ,7197元/平米,西北,中楼层,毛坯,龙泉驿区, 板楼, 3个月前
1628,龙湖世纪峰景,283万,3室1厅1卫, 127.3平米 ,22231元/平米,西南,低楼层,精装,高新区, 板塔结合, 9个月前
1629,东方丽苑,75万,2室1厅1卫, 71.1平米 ,10521元/平米,南,高楼层,简装,成华区, 板塔结合, 4个月前
1630,保利玫瑰花语,98万,3室1厅1卫, 78.29平米 ,12518元/平米,东南,低楼层,简装,龙泉驿区, 板楼, 3个月前
1631,宗申流溪丽园,118万,3室2厅2卫, 119.51平米 ,9874元/平米,东西,中楼层,简装,双流区, 板塔结合, 6个月前
1632,汇融悉尼湾达令港,75万,2室1厅1卫, 68.58平米 ,10937元/平米,南,高楼层,简装,新都区, 板塔结合, 1个月前
1633,祥和里118号,80万,2室1厅1卫, 68.48平米 ,11683元/平米,西南,中楼层,简装,成华区, 板楼, 3个月前
1634,新华创客居,189万,3室2厅1卫, 91.73平米 ,20604元/平米,南,中楼层,精装,成华区, 塔楼, 5个月前
1635,南湖国际社区,189万,4室1厅1卫, 129.02平米 ,14649元/平米,北,低楼层,毛坯,双流区, 板塔结合, 4个月前
1636,中建天府公馆,359万,4室2厅1卫, 174.85平米 ,20532元/平米,南北,中楼层,毛坯,高新区, 板楼, 9个月前
1637,朗基少帅府,118万,3室1厅2卫, 75.74平米 ,15580元/平米,西南,高楼层,精装,郫都区, 塔楼, 7个月前
1638,林巷子11号,60万,2室1厅2卫, 43.96平米 ,13649元/平米,东南,高楼层,简装,金牛区, 板楼, 15天前
1639,成钞家园,45万,2室1厅2卫, 57.05平米 ,7888元/平米,东南,中楼层,精装,温江区, 板塔结合, 20天前
1640,世豪嘉柏,165万,3室1厅2卫, 91.02平米 ,18128元/平米,西北,高楼层,精装,武侯区, 板塔结合, 2个月前
1641,世豪嘉柏,157万,3室1厅1卫, 90.49平米 ,17350元/平米,西南,中楼层,精装,武侯区, 板塔结合, 3个月前
1642,建发金沙里,425万,4室2厅1卫, 164.27平米 ,25873元/平米,西南,中楼层,精装,青羊区, 板楼, 1年前
1643,红枫岭二期,125万,2室2厅2卫, 87.57平米 ,14275元/平米,西南,高楼层,简装,成华区, 板塔结合, 5个月前
1644,华邑阳光里,80万,3室2厅1卫, 71.52平米 ,11172元/平米,西北,高楼层,精装,郫都区, 板塔结合, 9个月前
1645,南湖时光里,102万,2室1厅1卫, 77.87平米 ,13074元/平米,东南,中楼层,精装,双流区, 暂无数据, 3个月前
1646,华宇旭辉锦绣花城,155万,3室1厅1卫, 100.84平米 ,15371元/平米,南,低楼层,精装,成华区, 板楼, 1年前
1647,石人南路13号,73万,2室1厅4卫, 81.12平米 ,9000元/平米,南北,低楼层,简装,青羊区, 板楼, 1个月前
1648,上善清波小区A,119万,2室2厅1卫, 93.44平米 ,12736元/平米,北,低楼层,简装,青羊区, 板楼, 27天前
1649,雅砻阳光花园,72万,2室1厅1卫, 82.14平米 ,8766元/平米,西,中楼层,毛坯,温江区, 塔楼, 1年前
1650,华宇楠苑,259万,3室2厅2卫, 107.91平米 ,24002元/平米,东南,高楼层,精装,新武侯区, 板塔结合, 1个月前
1651,美洲花园棕榈湾,175万,3室1厅1卫, 90.55平米 ,19327元/平米,东北,低楼层,精装,新都区, 板楼, 8个月前
1652,合能耀之城,110万,2室1厅2卫, 68.37平米 ,16089元/平米,西北,低楼层,其他,成华区, 板塔结合, 8个月前
1653,龙城1号,179万,3室2厅1卫, 129.9平米 ,13780元/平米,南,高楼层,精装,龙泉驿区, 板楼, 1个月前
1654,宏达世纪锦城,188万,3室1厅1卫, 99.55平米 ,18885元/平米,东北,低楼层,简装,天府新区, 板塔结合, 1年前
1655,北大资源紫境府二期,285万,3室1厅1卫, 116.13平米 ,24542元/平米,南,高楼层,毛坯,高新区, 板塔结合, 2个月前
1656,中环丰锦,265万,3室2厅1卫, 97.58平米 ,27158元/平米,东南,低楼层,毛坯,武侯区, 板塔结合, 1年前
1657,凤凰铭筑,33万,3室1厅2卫, 95.15平米 ,3448元/平米,东南,中楼层,其他,青白江区, 板塔结合, 1个月前
1658,佳兆业丽晶公馆,89万,3室1厅5卫, 79.64平米 ,11176元/平米,西,高楼层,精装,新都区, 板塔结合, 4个月前
1659,西河镇东街,39万,2室1厅1卫, 74.81平米 ,5214元/平米,北,中楼层,简装,龙泉驿区, 暂无数据, 3个月前
1660,水韵天府,110万,2室1厅2卫, 76.77平米 ,14329元/平米,南,低楼层,简装,金牛区, 塔楼, 1年前
1661,合能耀之城,108万,2室1厅1卫, 61.14平米 ,17665元/平米,东,中楼层,简装,成华区, 板塔结合, 4个月前
1662,南湖半岛,95万,2室1厅1卫, 62.58平米 ,15181元/平米,南,高楼层,精装,双流区, 板塔结合, 1年前
1663,九境堂,135万,3室1厅1卫, 109.45平米 ,12335元/平米,东南,低楼层,毛坯,新都区, 暂无数据, 4个月前
1664,兴业街55号,95万,3室2厅1卫, 104.05平米 ,9131元/平米,东,中楼层,精装,龙泉驿区, 暂无数据, 25天前
1665,清水路苑,129万,3室2厅1卫, 89.49平米 ,14416元/平米,南,低楼层,精装,青羊区, 板塔结合, 5个月前
1666,绿岛筑,141万,3室2厅1卫, 89.01平米 ,15841元/平米,东南,低楼层,毛坯,锦江区, 板塔结合, 2个月前
1667,优品道四期曦岸,192万,2室1厅2卫, 78.27平米 ,24531元/平米,北,中楼层,简装,青羊区, 板塔结合, 3个月前
1668,春熙苑一期,109万,2室1厅1卫, 70.47平米 ,15468元/平米,东南,低楼层,简装,成华区, 板楼, 25天前
1669,三四八小区,50万,2室1厅2卫, 76.78平米 ,6513元/平米,东南,中楼层,精装,郫都区, 板塔结合, 1个月前
1670,中铁奥维尔一期,63万,2室1厅2卫, 91.35平米 ,6897元/平米,东南,低楼层,简装,郫都区, 塔楼, 4个月前
1671,金辉悦府,81万,2室2厅1卫, 72.26平米 ,11210元/平米,东南,高楼层,精装,郫都区, 塔楼, 1个月前
1672,金强大学城,66万,3室2厅2卫, 83.5平米 ,7905元/平米,东北,高楼层,简装,温江区, 板塔结合, 1年前
1673,华腾舒云居,107万,2室1厅1卫, 72.62平米 ,14707元/平米,南北,高楼层,简装,双流区, 板塔结合, 1个月前
1674,中海右岸二期,125万,2室2厅1卫, 71.77平米 ,17417元/平米,北,中楼层,精装,双流区, 板塔结合, 3个月前
1675,佰客郡,63万,2室1厅2卫, 62.22平米 ,10126元/平米,南,高楼层,简装,双流区, 板楼, 4个月前
1676,艺苑生活圈,46万,2室1厅1卫, 88.87平米 ,5177元/平米,东南,低楼层,其他,温江区, 板楼, 4个月前
1677,招商依云上城一期,74万,3室2厅1卫, 81.74平米 ,9017元/平米,北,低楼层,简装,龙泉驿区, 塔楼, 2个月前
1678,蓝岸丽景,117万,2室2厅1卫, 92.59平米 ,12637元/平米,南,低楼层,精装,天府新区, 板塔结合, 1年前
1679,彩叠园二期,130万,3室2厅1卫, 102.2平米 ,12721元/平米,南,中楼层,精装,温江区, 板塔结合, 1个月前
1680,青城外滩,53万,2室1厅1卫, 79.84平米 ,6576元/平米,西南,中楼层,简装,都江堰市, 板楼, 6个月前
1681,合能四季城三期,65万,2室1厅1卫, 65.05平米 ,9916元/平米,东北,低楼层,精装,郫都区, 塔楼, 1年前
1682,洛森堡,146万,3室2厅1卫, 116.85平米 ,12495元/平米,东南,低楼层,简装,天府新区, 塔楼, 2个月前
1683,金沙美邻丽雅苑,56万,1室1厅1卫, 43.99平米 ,12731元/平米,西北,低楼层,其他,金牛区, 板楼, 1个月前
1684,橙花风景,144万,2室1厅1卫, 77.56平米 ,18567元/平米,西南,低楼层,精装,青羊区, 板塔结合, 3个月前
1685,金沙柏林郡,85万,2室1厅1卫, 68.78平米 ,12359元/平米,东北,低楼层,简装,青羊区, 板塔结合, 1年前
1686,欣盛家园,85万,3室2厅1卫, 130.93平米 ,6493元/平米,东南,中楼层,简装,温江区, 板塔结合, 1年前
1687,星城银座,88万,1室0厅1卫, 28.6平米 ,30770元/平米,东,高楼层,简装,锦江区, 板塔结合, 1个月前
1688,光华杏林,55万,1室1厅1卫, 50.24平米 ,10848元/平米,北,高楼层,简装,青羊区, 塔楼, 2个月前
1689,保利花园五期悦榕郡,220万,3室1厅2卫, 97.51平米 ,22562元/平米,东南,高楼层,精装,新武侯区, 板塔结合, 4个月前
1690,恒德路6号,100万,3室2厅2卫, 94.6平米 ,10571元/平米,东,中楼层,简装,金牛区, 板楼, 1年前
1691,金地嘉年华城B区,338万,5室3厅1卫, 222.71平米 ,15177元/平米,东南,高楼层,精装,青羊区, 板楼, 6个月前
1692,三利麓山城春风里,135万,2室2厅1卫, 85.75平米 ,15744元/平米,北,中楼层,精装,天府新区, 板塔结合, 1年前
1693,融创NANO公馆,95万,2室1厅2卫, 50.88平米 ,18633元/平米,南,中楼层,精装,天府新区, 板塔结合, 6个月前
1694,中大君悦金沙一二期,300万,3室1厅1卫, 126.11平米 ,23789元/平米,西南,中楼层,简装,青羊区, 板楼, 3个月前
1695,玺印上院,95万,3室1厅1卫, 84.67平米 ,11221元/平米,东南,低楼层,精装,龙泉驿区, 板楼, 1年前
1696,朗基御今缘,372万,4室2厅1卫, 118.28平米 ,31451元/平米,南,中楼层,精装,高新区, 塔楼, 4个月前
1697,双吉社区48号院,72万,2室1厅1卫, 50.52平米 ,14252元/平米,西,高楼层,精装,高新区, 板楼, 4个月前
1698,御岭春天三期,85万,2室1厅2卫, 77.63平米 ,10950元/平米,东南,低楼层,精装,龙泉驿区, 板塔结合, 28天前
1699,金巴黎,20万,1室1厅1卫, 36.25平米 ,5463元/平米,东南,中楼层,简装,龙泉驿区, 板塔结合, 2个月前
1700,上行东方,185万,3室2厅1卫, 125.58平米 ,14732元/平米,南,高楼层,精装,成华区, 板楼, 2个月前
1701,蓝光雍锦丽府,470万,4室3厅1卫, 151.98平米 ,30926元/平米,东北,高楼层,精装,武侯区, 暂无数据, 1个月前
1702,恒大御龙天峰,85万,3室2厅1卫, 111.15平米 ,7648元/平米,东南,高楼层,简装,龙泉驿区, 塔楼, 1个月前
1703,奥园公园府邸,210万,3室2厅1卫, 103.27平米 ,20336元/平米,南,中楼层,精装,天府新区, 板塔结合, 1年前
1704,聚雅苑,53万,1室1厅1卫, 42.15平米 ,12575元/平米,南,低楼层,毛坯,高新区, 板楼, 1年前
1705,西区花园别墅绿之韵,163万,4室2厅2卫, 161.45平米 ,10097元/平米,东南,低楼层,精装,郫都区, 板楼, 5个月前
1706,世纪金沙,195万,3室1厅1卫, 92.66平米 ,21045元/平米,东北,高楼层,精装,青羊区, 塔楼, 6个月前
1707,益民苑,80万,2室1厅1卫, 69.43平米 ,11523元/平米,东北,中楼层,简装,金牛区, 板楼, 3个月前
1708,南湖时光里,102万,2室1厅2卫, 77.87平米 ,13074元/平米,东南,中楼层,精装,双流区, 暂无数据, 3个月前
1709,华邑阳光里,80万,3室2厅2卫, 71.52平米 ,11172元/平米,西北,高楼层,精装,郫都区, 板塔结合, 9个月前
1710,金河谷五期,86万,3室1厅1卫, 76.31平米 ,11270元/平米,西北,中楼层,毛坯,温江区, 塔楼, 6个月前
1711,金色逸景,81万,3室2厅1卫, 112.28平米 ,7197元/平米,西北,中楼层,毛坯,龙泉驿区, 板楼, 3个月前
1712,正成拉斐,149万,3室1厅1卫, 86.61平米 ,17204元/平米,东南,高楼层,精装,金牛区, 塔楼, 7个月前
1713,中央花园四期,75万,2室1厅1卫, 68.8平米 ,10829元/平米,东南,中楼层,简装,武侯区, 板楼, 1个月前
1714,幸福时光,40万,1室0厅1卫, 35.62平米 ,11230元/平米,东南,低楼层,精装,武侯区, 板楼, 11个月前
1715,海天阁,116万,3室1厅1卫, 90.46平米 ,12824元/平米,东南,高楼层,简装,武侯区, 板楼, 5个月前
1716,天慧城,68万,3室2厅1卫, 109.68平米 ,6200元/平米,东南,中楼层,简装,郫都区, 暂无数据, 1个月前
1717,九里教师苑,60万,2室1厅3卫, 67.68平米 ,8866元/平米,西南,高楼层,简装,金牛区, 板楼, 5个月前
1718,青龙乾院B区,66万,1室1厅1卫, 53.82平米 ,12264元/平米,南,中楼层,简装,成华区, 板楼, 2个月前
1719,天鹅湖花园,310万,3室2厅2卫, 200.78平米 ,15440元/平米,西北,中楼层,简装,高新区, 塔楼, 7个月前
1720,叠翠峰,105万,1室0厅1卫, 43.5平米 ,24138元/平米,南,高楼层,精装,高新区, 板楼, 1个月前
1721,恒大天府半岛二期,148万,3室1厅2卫, 94.65平米 ,15637元/平米,东南,高楼层,精装,天府新区, 板塔结合, 1年前
1722,万科翡翠公园,259万,3室1厅1卫, 92.96平米 ,27862元/平米,南,高楼层,精装,天府新区, 塔楼, 1年前
1723,金科一城,84万,2室1厅1卫, 50.61平米 ,16558元/平米,南,高楼层,精装,成华区, 塔楼, 1个月前
1724,中铁塔米亚,104万,3室2厅1卫, 83.92平米 ,12381元/平米,西南,中楼层,精装,郫都区, 板塔结合, 1年前
1725,中铁塔米亚,110万,3室2厅1卫, 97.63平米 ,11268元/平米,东北,中楼层,精装,郫都区, 板塔结合, 1年前
1726,中建天府公馆,280万,3室2厅1卫, 133.3平米 ,21006元/平米,北,低楼层,毛坯,高新区, 板楼, 1年前
1727,金科天籁城,90万,2室1厅1卫, 72.72平米 ,12377元/平米,东南,中楼层,简装,成华区, 板塔结合, 1个月前
1728,领馆国际城,89万,1室1厅1卫, 55.11平米 ,16150元/平米,南,高楼层,精装,高新区, 板楼, 1年前
1729,棕榈南岸,159万,2室1厅1卫, 93.32平米 ,17039元/平米,南,中楼层,精装,高新区, 板塔结合, 7个月前
1730,远大中央公园一期,179万,3室2厅1卫, 108.05平米 ,16567元/平米,西,中楼层,精装,双流区, 板塔结合, 1个月前
1731,莲花新区北二巷8号,70万,2室1厅1卫, 61.96平米 ,11298元/平米,东南,低楼层,简装,双流区, 板楼, 9个月前
1732,水岸华庭,117万,2室2厅1卫, 69.3平米 ,16855元/平米,东北,中楼层,精装,成华区, 塔楼, 2个月前
1733,比华利国际城二期,189万,3室2厅1卫, 91.17平米 ,20731元/平米,东南,低楼层,简装,锦江区, 塔楼, 2个月前
1734,中海锦江城云璟,189万,3室2厅1卫, 112.28平米 ,16833元/平米,西南,高楼层,精装,天府新区, 塔楼, 4个月前
1735,东方惠城B区,53万,1室1厅2卫, 48.54平米 ,10919元/平米,东南,中楼层,简装,成华区, 塔楼, 1年前
1736,锦江城市花园3期,81万,2室1厅1卫, 57.07平米 ,14194元/平米,西北,低楼层,简装,锦江区, 板塔结合, 7个月前
1737,糍粑店街10号,95万,2室1厅1卫, 72.77平米 ,13055元/平米,西南,高楼层,简装,锦江区, 板楼, 14天前
1738,棕南正街9号,105万,3室1厅1卫, 90.41平米 ,11614元/平米,西北,高楼层,简装,武侯区, 板楼, 4个月前
1739,美泉悦府,230万,3室2厅1卫, 112.54平米 ,20438元/平米,东南,低楼层,精装,武侯区, 板塔结合, 2个月前
1740,金山御景蓝湾,88万,3室2厅1卫, 115.15平米 ,7643元/平米,东南,中楼层,其他,龙泉驿区, 板塔结合, 3个月前
1741,南阳锦城,196万,4室2厅1卫, 172.45平米 ,11366元/平米,南北,高楼层,精装,双流区, 板塔结合, 8个月前
1742,武海中华锦绣,145万,3室1厅1卫, 90.36平米 ,16047元/平米,东南,中楼层,毛坯,武侯区, 板楼, 3个月前
1743,成都新天地,136万,4室1厅1卫, 111.57平米 ,12190元/平米,南,中楼层,简装,双流区, 塔楼, 1年前
1744,抚琴东北路,54万,2室1厅1卫, 48.91平米 ,11041元/平米,东南,高楼层,简装,金牛区, 板楼, 1个月前
1745,泛林格兰晴天,330万,3室1厅1卫, 146.05平米 ,22596元/平米,南,低楼层,简装,高新区, 板塔结合, 26天前
1746,锦城名都,126万,2室1厅1卫, 73.52平米 ,17139元/平米,西北,中楼层,其他,金牛区, 板塔结合, 1个月前
1747,合能珍宝琥珀,95万,3室2厅1卫, 85.32平米 ,11112元/平米,西,低楼层,精装,温江区, 板塔结合, 1个月前
1748,彩虹花园,193万,3室1厅1卫, 137.9平米 ,13996元/平米,东北,低楼层,简装,武侯区, 板楼, 1年前
1749,优客联邦三期,139万,2室1厅1卫, 79.88平米 ,17402元/平米,南,低楼层,精装,武侯区, 板楼, 1年前
1750,香山苑,120万,3室1厅1卫, 88.05平米 ,13629元/平米,西,高楼层,简装,金牛区, 板塔结合, 1年前
1751,将军街63号,85万,2室1厅1卫, 60.69平米 ,14006元/平米,东南,高楼层,毛坯,青羊区, 板塔结合, 2个月前
1752,万科金域蓝岸,209万,3室2厅2卫, 96.15平米 ,21737元/平米,南,低楼层,精装,成华区, 板塔结合, 1个月前
1753,佳州星城,158万,2室2厅1卫, 81.77平米 ,19323元/平米,东,高楼层,精装,成华区, 塔楼, 2个月前
1754,和信融锦云湾,125万,3室2厅1卫, 74.88平米 ,16694元/平米,东南,高楼层,精装,成华区, 板塔结合, 3个月前
1755,百吉街52号,66万,2室2厅1卫, 77.19平米 ,8551元/平米,南,高楼层,简装,武侯区, 板楼, 7个月前
1756,保利康桥,390万,3室2厅1卫, 123.21平米 ,31654元/平米,西南,中楼层,精装,成华区, 塔楼, 3个月前
1757,华西雅筑,148万,3室1厅1卫, 100.84平米 ,14677元/平米,西南,低楼层,简装,成华区, 板塔结合, 3个月前
1758,望江锦园,170万,3室2厅3卫, 90.47平米 ,18791元/平米,西北,高楼层,精装,锦江区, 塔楼, 2个月前
1759,中华名城2期,68万,4室1厅1卫, 119.79平米 ,5660元/平米,东,高楼层,毛坯,青白江区, 板楼, 7个月前
1760,MOMA摩玛城,132万,2室1厅1卫, 78.47平米 ,16822元/平米,东,高楼层,毛坯,锦江区, 塔楼, 1年前
1761,碧桂园城市花园,140万,3室2厅1卫, 107.42平米 ,12996元/平米,东,高楼层,精装,金牛区, 板楼, 6个月前
1762,西城天下,118万,2室2厅2卫, 72.01平米 ,16387元/平米,东南,中楼层,精装,金牛区, 板塔结合, 4个月前
1763,静水苑二期,40万,2室2厅1卫, 85.8平米 ,4663元/平米,南,中楼层,毛坯,新都区, 暂无数据, 1个月前
1764,首创国际城二期,120万,3室1厅1卫, 81.82平米 ,14667元/平米,西南,低楼层,精装,成华区, 塔楼, 6个月前
1765,康宁苑,62万,3室1厅1卫, 80.19平米 ,7732元/平米,南,中楼层,其他,双流区, 暂无数据, 7个月前
1766,筒车巷29号,78万,2室1厅1卫, 68.73平米 ,11349元/平米,东南,中楼层,简装,金牛区, 板楼, 8个月前
1767,嘉瑞苑一期,199万,3室2厅1卫, 118.91平米 ,16736元/平米,南北,低楼层,精装,武侯区, 板楼, 4个月前
1768,中国铁建北湖国际城溪檀三期,155万,3室2厅1卫, 106.71平米 ,14526元/平米,北,中楼层,精装,成华区, 板塔结合, 2个月前
1769,王家塘街91号,162万,4室2厅1卫, 109.94平米 ,14736元/平米,南,高楼层,简装,青羊区, 板楼, 11个月前
1770,中国铁建北湖国际城溪檀三期,127万,3室1厅1卫, 89.28平米 ,14225元/平米,南,低楼层,精装,成华区, 板塔结合, 9个月前
1771,钻石年代,110万,2室2厅2卫, 93.13平米 ,11812元/平米,西南,中楼层,简装,金牛区, 板楼, 5个月前
1772,丽阳天下,106万,2室1厅1卫, 62.53平米 ,16952元/平米,东,高楼层,精装,青羊区, 塔楼, 1年前
1773,时代晶科名苑,220万,2室1厅2卫, 91.65平米 ,24005元/平米,东,高楼层,简装,武侯区, 板塔结合, 11个月前
1774,昆仑华庭,180万,2室1厅2卫, 57.94平米 ,31067元/平米,南,中楼层,精装,锦江区, 板塔结合, 2个月前
1775,建发金沙里,425万,4室2厅1卫, 164.27平米 ,25873元/平米,西南,中楼层,精装,青羊区, 板楼, 1年前
1776,红枫岭二期,125万,2室2厅1卫, 87.57平米 ,14275元/平米,西南,高楼层,简装,成华区, 板塔结合, 5个月前
1777,世豪嘉柏,157万,3室1厅1卫, 90.49平米 ,17350元/平米,西南,中楼层,精装,武侯区, 板塔结合, 3个月前
1778,富丽碧蔓汀,181万,3室1厅1卫, 100.47平米 ,18016元/平米,西北,中楼层,精装,金牛区, 塔楼, 1年前
1779,幸福时光,36万,1室1厅1卫, 35.62平米 ,10107元/平米,西北,低楼层,精装,武侯区, 板楼, 7个月前
1780,蓝光金悦派,105万,2室1厅1卫, 60.74平米 ,17287元/平米,南,高楼层,精装,高新区, 塔楼, 1个月前
1781,南湖国际社区,189万,4室1厅2卫, 129.02平米 ,14649元/平米,北,低楼层,毛坯,双流区, 板塔结合, 4个月前
1782,成钞家园,45万,2室1厅1卫, 57.05平米 ,7888元/平米,东南,中楼层,精装,温江区, 板塔结合, 20天前
1783,泉水东苑B区,98万,2室1厅3卫, 87.06平米 ,11257元/平米,北,中楼层,其他,金牛区, 板楼, 1个月前
1784,世豪嘉柏,165万,3室1厅1卫, 91.02平米 ,18128元/平米,西北,高楼层,精装,武侯区, 板塔结合, 2个月前
1785,草堂北路22号,165万,3室2厅1卫, 96.2平米 ,17152元/平米,南,中楼层,精装,青羊区, 板楼, 10个月前
1786,保利玫瑰花语,98万,3室1厅1卫, 78.29平米 ,12518元/平米,东南,低楼层,简装,龙泉驿区, 板楼, 3个月前
1787,宗申流溪丽园,118万,3室2厅3卫, 119.51平米 ,9874元/平米,东西,中楼层,简装,双流区, 板塔结合, 6个月前
1788,东方丽苑,75万,2室1厅1卫, 71.1平米 ,10521元/平米,南,高楼层,简装,成华区, 板塔结合, 4个月前
1789,汇融悉尼湾达令港,75万,2室1厅2卫, 68.58平米 ,10937元/平米,南,高楼层,简装,新都区, 板塔结合, 1个月前
1790,龙湖三千城A区,210万,3室2厅1卫, 94.59平米 ,22202元/平米,西北,高楼层,精装,成华区, 板塔结合, 1个月前
1791,卓锦城三期,244万,3室2厅1卫, 131.76平米 ,18519元/平米,南,中楼层,精装,锦江区, 塔楼, 5个月前
1792,千和馨城,178万,4室2厅1卫, 137.55平米 ,12941元/平米,东南,高楼层,精装,金牛区, 板塔结合, 1年前
1793,中洲中央城邦,550万,4室1厅2卫, 167.33平米 ,32870元/平米,东,低楼层,精装,锦江区, 板塔结合, 1年前
1794,人居锦尚春天A区,140万,3室1厅1卫, 90.49平米 ,15472元/平米,东南,中楼层,简装,锦江区, 板塔结合, 4个月前
1795,西南电力设计院小区,133万,3室2厅1卫, 88.92平米 ,14958元/平米,南,中楼层,简装,成华区, 板楼, 1年前
1796,招商依云上城一期,78万,3室2厅1卫, 81.4平米 ,9583元/平米,东,中楼层,精装,龙泉驿区, 板塔结合, 3个月前
1797,锦江城市花园3期,80万,2室2厅1卫, 57.77平米 ,13849元/平米,东南,中楼层,简装,锦江区, 板塔结合, 3个月前
1798,中海右岸,128万,2室1厅1卫, 72.51平米 ,17653元/平米,北,高楼层,精装,双流区, 塔楼, 2个月前
1799,鑫苑名家二期,128万,2室2厅2卫, 73.94平米 ,17312元/平米,东南,中楼层,精装,锦江区, 板塔结合, 4个月前
1800,府河音乐花园,139万,3室2厅2卫, 122.73平米 ,11326元/平米,东西,高楼层,精装,天府新区, 板塔结合, 2个月前
1801,华宇天府花城二期,99万,3室1厅1卫, 96.62平米 ,10247元/平米,东南,高楼层,简装,郫都区, 塔楼, 4个月前
1802,中海万锦熙岸,328万,4室2厅2卫, 141.77平米 ,23137元/平米,南,中楼层,精装,天府新区, 板楼, 1年前
1803,积家御景,114万,3室1厅1卫, 92.64平米 ,12306元/平米,南,高楼层,精装,温江区, 塔楼, 14天前
1804,洲际亚洲湾A区,130万,3室2厅4卫, 100.87平米 ,12869元/平米,东南,中楼层,精装,温江区, 板塔结合, 8个月前
1805,恒大上林苑,162万,4室2厅1卫, 204.56平米 ,7920元/平米,南,低楼层,其他,新都区, 板塔结合 , 1个月前
1806,中道街99号,210万,3室2厅1卫, 104.84平米 ,20031元/平米,南,高楼层,精装,锦江区, 板楼, 7个月前
1807,欧洲印象,125万,3室2厅1卫, 88.57平米 ,14114元/平米,北,中楼层,精装,双流区, 板塔结合, 3个月前
1808,茂业豪园,50万,1室1厅2卫, 27.84平米 ,17960元/平米,西北,中楼层,精装,锦江区, 塔楼, 1个月前
1809,翡翠城四期,148万,2室2厅2卫, 85.21平米 ,17369元/平米,西北,中楼层,其他,锦江区, 板塔结合, 5个月前
1810,一里阳光,62万,2室2厅1卫, 63.68平米 ,9737元/平米,东南,低楼层,精装,郫都区, 塔楼, 1个月前
1811,棕南正街9号,109万,3室2厅2卫, 92.5平米 ,11784元/平米,西北,高楼层,简装,武侯区, 板楼, 3个月前
1812,中铁塔米亚,87万,2室2厅1卫, 75.31平米 ,11553元/平米,西南,高楼层,精装,郫都区, 板塔结合, 6个月前
1813,佳兆业丽晶公馆,119万,3室2厅2卫, 88.14平米 ,13456元/平米,东南,中楼层,精装,新都区, 塔楼, 5个月前
1814,外滩,175万,3室1厅2卫, 90.89平米 ,19255元/平米,东北,低楼层,简装,锦江区, 板塔结合, 5个月前
1815,保利爱尚里,100万,3室1厅1卫, 81.35平米 ,12268元/平米,东,低楼层,毛坯,新都区, 板塔结合, 4个月前
1816,上池正街39号,106万,2室1厅1卫, 71.64平米 ,14797元/平米,东南,高楼层,精装,青羊区, 板楼, 3个月前
1817,保利玫瑰花语,128万,3室1厅2卫, 85.67平米 ,14942元/平米,西,低楼层,精装,龙泉驿区, 板楼, 7个月前
1818,蓝光富丽花城,96万,2室2厅1卫, 77.44平米 ,12397元/平米,西,中楼层,简装,成华区, 板塔结合, 15天前
1819,保利玫瑰花语,97万,3室2厅1卫, 77.44平米 ,12526元/平米,南北,高楼层,简装,龙泉驿区, 板楼, 7个月前
1820,荣盛花语城,125万,2室2厅1卫, 64.44平米 ,19398元/平米,北,高楼层,精装,青羊区, 塔楼, 7个月前
