Unnamed: 0,小区名字,总价,户型,建筑面积,单价,朝向,楼层,装修,区域,楼房结构,房源发布时间
67,建发鹭洲国际,355万,3室2厅1卫, 99.02平米 ,35852元/平米,南北,中楼层,精装,高新区, 板塔结合, 2个月前
68,唐安银座,60万,2室2厅1卫, 80.57平米 ,7423元/平米,东,中楼层,其他,崇州市, 塔楼, 30天前
69,缤纷城,77万,3室1厅1卫, 112.29平米 ,6858元/平米,东,高楼层,简装,新津区, 板塔结合, 26天前
70,蜀镇锦翰园,69万,2室2厅1卫, 71.75平米 ,9617元/平米,东,中楼层,其他,双流区, 板塔结合, 27天前
71,合能四季城二期,88万,3室2厅1卫, 79.52平米 ,11067元/平米,东南,低楼层,精装,郫都区, 板塔结合, 1个月前
72,盛源学府名城,98万,3室1厅2卫, 89.67平米 ,10929元/平米,东北,中楼层,精装,郫都区, 板塔结合, 1个月前
73,合谊同华,62万,3室2厅1卫, 100.06平米 ,6197元/平米,南,中楼层,毛坯,青白江区, 板塔结合, 17天前
74,桂花巷19号,120万,2室1厅1卫, 66.06平米 ,18166元/平米,南北,高楼层,简装,青羊区, 板塔结合, 3个月前
75,华兴新居,64万,1室1厅2卫, 50.68平米 ,12629元/平米,东南,低楼层,精装,锦江区, 板塔结合, 1年前
76,万科金色城市二期,115万,2室1厅1卫, 66.77平米 ,17224元/平米,西北,中楼层,其他,龙泉驿区, 板塔结合, 1个月前
77,金巴黎,26万,1室1厅1卫, 51.41平米 ,5058元/平米,南,高楼层,精装,龙泉驿区, 板塔结合, 3个月前
78,保利叶语,169万,3室1厅1卫, 99.53平米 ,16980元/平米,西,高楼层,精装,双流区, 板塔结合, 1个月前
79,桃都印象,79万,3室2厅1卫, 109.96平米 ,7203元/平米,东北,中楼层,简装,龙泉驿区, 板塔结合, 2个月前
80,中铁骑士府邸,165万,3室2厅1卫, 95.48平米 ,17282元/平米,南,低楼层,精装,双流区, 板塔结合, 29天前
81,瑞景光华,339万,4室2厅1卫, 162.06平米 ,20919元/平米,东西,低楼层,精装,青羊区, 板楼, 2个月前
82,筒车巷3号,68万,3室1厅1卫, 61.84平米 ,10997元/平米,南,中楼层,毛坯,金牛区, 板楼, 3个月前
83,合能珍宝琥珀3期,148万,3室2厅1卫, 137.83平米 ,10738元/平米,西南,高楼层,毛坯,温江区, 塔楼, 3个月前
84,嘉和瑞景,40万,2室1厅1卫, 87.47平米 ,4551元/平米,西南,中楼层,简装,青白江区, 塔楼, 1个月前
85,温江一地,100万,4室2厅1卫, 188.26平米 ,5312元/平米,南,高楼层,毛坯,双流区, 板楼, 30天前
86,凤翔华庭,134万,3室2厅1卫, 126.07平米 ,10590元/平米,东南,中楼层,简装,成华区, 塔楼, 8个月前
87,华润国际社区,115万,3室1厅1卫, 78.76平米 ,14602元/平米,东南,低楼层,精装,龙泉驿区, 板塔结合, 1个月前
88,永吉苑,98万,2室1厅1卫, 88.65平米 ,11055元/平米,西南,中楼层,简装,武侯区, 板塔结合, 2个月前
89,文家巷小区,56万,2室2厅1卫, 85.31平米 ,6565元/平米,南,低楼层,简装,新都区, 塔楼, 26天前
90,金山御景蓝湾,65万,3室1厅2卫, 100平米 ,6500元/平米,东,高楼层,精装,龙泉驿区, 板塔结合, 2个月前
91,万科金域名邸一期,332万,3室2厅1卫, 109.86平米 ,30221元/平米,南,低楼层,精装,高新区, 板塔结合, 3个月前
92,绿地国际花都一期,79万,3室1厅1卫, 88.14平米 ,8907元/平米,东南,高楼层,简装,郫都区, 板楼, 2个月前
93,金秋家园1,117万,3室2厅1卫, 124.89平米 ,9369元/平米,南北,高楼层,毛坯,双流区, 暂无数据, 8个月前
94,云影苑,208万,3室2厅1卫, 132.44平米 ,15706元/平米,南北,中楼层,其他,武侯区, 板楼, 25天前
95,丽阳星座,76万,2室1厅2卫, 76.95平米 ,9877元/平米,东北,低楼层,毛坯,温江区, 板塔结合, 3个月前
96,南峰水岸华府,102万,3室2厅1卫, 102.32平米 ,9969元/平米,南,高楼层,其他,都江堰市, 塔楼, 1个月前
97,光华国际,123万,3室2厅1卫, 104.64平米 ,11755元/平米,南,高楼层,精装,温江区, 板塔结合, 1年前
98,格兰鼎城,58万,2室1厅1卫, 76.51平米 ,7581元/平米,东南,高楼层,毛坯,龙泉驿区, 板塔结合, 1年前
99,石油广都小区,98万,3室1厅1卫, 110.47平米 ,8872元/平米,南,高楼层,其他,双流区, 板楼, 1个月前
100,丽都佳苑,69万,3室1厅2卫, 114.86平米 ,6008元/平米,南,低楼层,毛坯,新津区, 板塔结合, 1年前
101,青房云上二期,198万,3室2厅2卫, 98.03平米 ,20198元/平米,南,高楼层,精装,锦江区, 板楼, 4个月前
102,中铁奥维尔二期,72万,3室1厅1卫, 78.44平米 ,9179元/平米,西南,高楼层,精装,郫都区, 塔楼, 4个月前
103,凯华丽景,160万,3室2厅2卫, 122.26平米 ,13087元/平米,东南,低楼层,简装,天府新区, 板塔结合, 1年前
104,恒大天府半岛二期,142万,2室1厅1卫, 93.09平米 ,15255元/平米,西,中楼层,简装,天府新区, 板塔结合, 1年前
105,洲际春天广场,99万,3室2厅2卫, 80.24平米 ,12338元/平米,西南,中楼层,精装,温江区, 板塔结合, 1年前
106,依云岭,40万,2室1厅1卫, 79.74平米 ,4992元/平米,东北,中楼层,精装,金堂县, 板楼, 28天前
107,麓湖生态城浔岭,425万,3室1厅1卫, 137.36平米 ,30941元/平米,东北,低楼层,精装,天府新区, 板楼, 9个月前
108,西北街43号院,72万,3室2厅1卫, 98.6平米 ,7303元/平米,西南,中楼层,简装,双流区, 暂无数据, 9个月前
109,通瑞月光湖,105万,3室1厅1卫, 104.79平米 ,10021元/平米,南,低楼层,简装,双流区, 塔楼, 9个月前
110,翡翠城四期,120万,1室1厅2卫, 50.87平米 ,23590元/平米,西,低楼层,简装,锦江区, 塔楼, 8个月前
111,蓝光观岭国际社区翡翠湾,47万,3室1厅1卫, 94.08平米 ,4996元/平米,东南,低楼层,精装,金堂县, 板塔结合, 9个月前
112,保利天空之城云锦,246万,4室2厅1卫, 140.8平米 ,17472元/平米,西北,低楼层,精装,天府新区, 板塔结合, 3个月前
113,永康苑(铁佛西路),102万,2室1厅1卫, 92.55平米 ,11022元/平米,东,中楼层,精装,武侯区, 板楼, 1个月前
114,雅砻阳光花园,138万,3室2厅2卫, 125平米 ,11040元/平米,西北,中楼层,精装,温江区, 塔楼, 3个月前
115,荆竹小区7号院,102万,3室2厅1卫, 109.67平米 ,9301元/平米,北,中楼层,精装,成华区, 板楼, 3个月前
116,水城印象,33万,3室1厅1卫, 97.16平米 ,3376元/平米,东南,高楼层,简装,金堂县, 塔楼, 2个月前
117,佳兆业广场,130万,2室2厅1卫, 68.7平米 ,18923元/平米,南,中楼层,精装,青羊区, 板塔结合, 1个月前
118,利通出水芙蓉,38万,1室0厅2卫, 23.1平米 ,16234元/平米,东,高楼层,简装,天府新区, 板楼, 1年前
119,首创爱这城一二期,135万,2室1厅1卫, 86.48平米 ,15611元/平米,南,高楼层,精装,成华区, 塔楼, 2个月前
120,兴城融域,100万,3室1厅2卫, 84.69平米 ,11808元/平米,南,高楼层,简装,青羊区, 塔楼, 1年前
121,洲际春天广场,99万,3室2厅3卫, 80.24平米 ,12338元/平米,西南,中楼层,精装,温江区, 板塔结合, 1年前
122,依云岭,40万,2室1厅1卫, 79.74平米 ,4992元/平米,东北,中楼层,精装,金堂县, 板楼, 28天前
123,纬度18,121万,3室2厅1卫, 122.68平米 ,9864元/平米,东南,中楼层,精装,双流区, 板楼, 2个月前
124,万科金色城市二期,115万,2室1厅1卫, 66.77平米 ,17224元/平米,西北,中楼层,其他,龙泉驿区, 板塔结合, 1个月前
125,橙郡三期,116万,3室2厅1卫, 92.27平米 ,12572元/平米,南北,高楼层,精装,金牛区, 板塔结合, 1年前
126,金河谷五期,178万,4室2厅1卫, 125.44平米 ,14191元/平米,西南,高楼层,毛坯,温江区, 板楼, 1年前
127,朝阳时代西锦,74万,2室1厅1卫, 86.6平米 ,8522元/平米,东南,高楼层,精装,新都区, 板塔结合, 1年前
128,富豪尚都,125万,3室2厅1卫, 117.23平米 ,10663元/平米,南北,中楼层,简装,新都区, 塔楼, 1年前
129,锦西国际,50万,2室1厅2卫, 34.06平米 ,14680元/平米,北,高楼层,精装,金牛区, 塔楼, 1年前
130,全鑫苑,32万,1室1厅1卫, 46.36平米 ,6903元/平米,北,中楼层,其他,龙泉驿区, 板楼, 15天前
131,桂花巷19号,120万,2室1厅2卫, 66.06平米 ,18166元/平米,南北,高楼层,简装,青羊区, 板塔结合, 3个月前
132,一环路东三段99号附8号,83万,2室2厅1卫, 64.3平米 ,12909元/平米,东南,低楼层,精装,成华区, 板楼, 8个月前
133,马鞍山26号,57万,2室1厅1卫, 60.66平米 ,9397元/平米,东,高楼层,简装,金牛区, 板塔结合, 4个月前
134,红牌楼广场,188万,3室2厅1卫, 98.75平米 ,19038元/平米,西南,低楼层,简装,武侯区, 板楼, 31天前
135,鹭湖宫10区,96万,3室1厅1卫, 101.71平米 ,9439元/平米,北,高楼层,精装,温江区, 塔楼, 1年前
136,花样年别样城,118万,3室2厅1卫, 129.62平米 ,9104元/平米,东南,中楼层,精装,双流区, 板楼, 10个月前
137,凤翔华庭,134万,3室2厅1卫, 126.07平米 ,10590元/平米,东南,中楼层,简装,成华区, 塔楼, 8个月前
138,翡翠半岛,123万,2室2厅1卫, 81.28平米 ,15133元/平米,西南,中楼层,简装,高新区, 塔楼, 1年前
139,听湖九园,82万,3室1厅1卫, 113.42平米 ,7213元/平米,西南,中楼层,其他,青白江区, 板塔结合, 3个月前
140,西宸原著,265万,3室2厅2卫, 102.42平米 ,25874元/平米,西北,中楼层,精装,金牛区, 板塔结合, 1年前
141,万科城,138万,3室2厅1卫, 92.37平米 ,14940元/平米,东南,低楼层,精装,郫都区, 板塔结合, 1年前
142,合能珍宝琥珀,95万,3室1厅1卫, 82.86平米 ,11466元/平米,东南,中楼层,精装,温江区, 板塔结合, 8个月前
143,黄金时代(高新区),165万,3室2厅1卫, 108.21平米 ,15249元/平米,北,低楼层,其他,高新区, 板塔结合, 1年前
144,保利叶语,169万,3室1厅1卫, 99.53平米 ,16980元/平米,西,高楼层,精装,双流区, 板塔结合, 1个月前
145,路桥家园,78万,2室2厅2卫, 78.41平米 ,9948元/平米,南,低楼层,精装,双流区, 板塔结合, 3个月前
146,合谊同华,62万,3室2厅1卫, 100.06平米 ,6197元/平米,南,中楼层,毛坯,青白江区, 板塔结合, 17天前
147,嘉和瑞景,40万,2室1厅1卫, 87.47平米 ,4551元/平米,西南,中楼层,简装,青白江区, 塔楼, 1个月前
148,温江一地,100万,4室2厅2卫, 188.26平米 ,5312元/平米,南,高楼层,毛坯,双流区, 板楼, 30天前
149,恒大天府半岛二期,142万,2室1厅1卫, 93.09平米 ,15255元/平米,西,中楼层,简装,天府新区, 板塔结合, 1年前
150,麓湖生态城浔岭,425万,3室1厅1卫, 137.36平米 ,30941元/平米,东北,低楼层,精装,天府新区, 板楼, 9个月前
151,四川省原子能研究院住宅（老）,108万,3室1厅1卫, 102.4平米 ,10547元/平米,东,低楼层,简装,锦江区, 板楼, 9个月前
152,富城花园,70万,3室1厅1卫, 128.8平米 ,5420元/平米,南,高楼层,精装,新都区, 板楼, 2个月前
153,锦绣光华,156万,3室2厅2卫, 104.19平米 ,14973元/平米,南,低楼层,毛坯,青羊区, 板楼, 1个月前
154,上置雅宾利,87万,3室2厅1卫, 83.12平米 ,10443元/平米,南,中楼层,精装,郫都区, 板塔结合, 1个月前
